醫事機構名稱,機構縣市,機構地址,電話區域號碼,電話號碼,特約類別,型態別,醫事機構種類,門牌號碼,村里,X,Y
三軍總醫院澎湖分院附設民眾診療服務處,澎湖縣,澎湖縣馬公市前寮里９０號,6,9211116,3,1,A,澎湖縣馬公市前寮里3鄰前寮90號,前寮里,105399.743,2606413.811
高植澎診所,澎湖縣,澎湖縣馬公市鎖港里４０５號,6,9950655,4,7,A,澎湖縣馬公市鎖港里6鄰鎖管港405號,鎖港里,107136.145,2603353.691
財團法人天主教靈醫會惠民醫院附設澎南門診部,澎湖縣,澎湖縣馬公市鎖港里２４１號,6,9952633,4,7,A,澎湖縣馬公市鎖港里4鄰鎖管港241號,鎖港里,107146.3,2603616.146
陳興源診所,澎湖縣,澎湖縣白沙鄉赤崁村大赤崁９－３５號,6,9932367,4,7,A,澎湖縣白沙鄉赤崁村1鄰大赤崁9之35號,赤崁村,107202.962,2618421.236
家裕診所,澎湖縣,澎湖縣湖西鄉隘門村１１７－１號,6,9228813,4,7,A,澎湖縣湖西鄉隘門村13鄰隘門117之1號,隘門村,110557.841,2607008.981
育安家庭醫學科診所,澎湖縣,澎湖縣湖西鄉龍門村良文港２３－３號,6,9923379,4,7,A,澎湖縣湖西鄉龍門村13鄰良文港23號之3,龍門村,114814.806,2607268.813
連江縣立醫院,連江縣,連江縣南竿鄉復興村２１７號,83,623995,3,2,A,連江縣南竿鄉復興村13鄰217號,復興村,144943.652,2894789.674
李芳輝內小兒科診所,臺南市,臺南市佳里區安西里文化路３０２號,6,7221568,4,7,A,臺南市佳里區安西里1鄰文化路302號,市佳里,165472.17,2562601.689
王順珍外婦產科診所,臺南市,臺南市佳里區建南里光復路１６５號,6,7223431,4,7,A,臺南市佳里區建南里4鄰光復路165號,市佳里,165489.269,2562153.6
鄭內兒科診所,臺南市,臺南市佳里區安西里光復路２６１號,6,7223680,4,7,A,臺南市佳里區安西里1鄰光復路357號之1,市佳里,165490.01,2562690.04
許耳鼻喉科診所,臺南市,臺南市佳里區安西里光復路２７１號,6,7225163,4,7,A,臺南市佳里區安西里1鄰光復路357號之1,市佳里,165490.01,2562690.04
陳婦產科診所,臺南市,臺南市佳里區建南里光復路１９６號,6,7220111,4,7,A,臺南市佳里區建南里1鄰光復路196號,市佳里,165516.799,2562313.529
鍾宏銘皮膚科診所,臺南市,臺南市佳里區光復路１６０號,6,7236387,4,7,A,臺南市佳里區建南里3鄰光復路160號,市佳里,165517.62,2562188.859
陳內兒科診所,臺南市,臺南市佳里區建南里光復路１３０號,6,7229820,4,7,A,臺南市佳里區建南里3鄰光復路130號,市佳里,165526.929,2562110.549
新生醫院,臺南市,臺南市佳里區建南里新生路２７２號,6,7223122,3,2,A,臺南市佳里區建南里1鄰新生路272號,市佳里,165674.429,2562288.669
以琳內科診所,臺南市,臺南市佳里區建南街１６１號,6,7211102,4,7,A,臺南市佳里區建南里2鄰建南街161號,市佳里,165684.72,2562158.549
顏忠信眼科診所,臺南市,臺南市佳里區建南里中山路１８９號,6,7213233,4,7,A,臺南市佳里區建南里2鄰中山路189號,市佳里,165720.769,2562078.399
洪骨科診所,臺南市,臺南市佳里區中山路２０１號１、２樓,6,7237088,4,7,A,臺南市佳里區建南里2鄰中山路201號,市佳里,165721.739,2562105.589
信明眼科診所,臺南市,臺南市佳里區中山路１３７號,6,7228999,4,7,A,臺南市佳里區建南里8鄰中山路137號,市佳里,165740.769,2561941.589
金石小兒科診所,臺南市,臺南市佳里區中山路１１３號,6,7225476,4,7,A,臺南市佳里區建南里8鄰中山路113號,市佳里,165748.399,2561887.109
謝樂偉眼科診所,臺南市,臺南市佳里區東寧里文化路２０５號,6,7234303,4,7,A,臺南市佳里區東寧里3鄰文化路205號,市佳里,165752.739,2562566.48
楊惠芬婦產科診所,臺南市,臺南市佳里區和平街１１８號,6,7220000,4,7,A,臺南市佳里區東寧里3鄰和平街118號,市佳里,165771.01,2562522.1
大順內兒科診所,臺南市,臺南市佳里區東寧里和平街９７號,6,7224805,4,7,A,臺南市佳里區東寧里2鄰和平街97號,市佳里,165781.329,2562499.279
涂尚言皮膚科診所,臺南市,臺南市佳里區延平路４０１號,6,7236996,4,7,A,臺南市佳里區六安里1鄰延平路401號,市佳里,165833.92,2562740.189
劉亞伯耳鼻喉科診所,臺南市,臺南市佳里區延平路３５３號,6,7236765,4,7,A,臺南市佳里區東寧里3鄰延平路353號,市佳里,165842.239,2562546.41
張松盛小兒科診所,臺南市,臺南市佳里區延平路２２５號,6,7234215,4,7,A,臺南市佳里區忠仁里2鄰延平路225號,市佳里,165868.269,2562169.62
吳志昶耳鼻喉科診所,臺南市,臺南市佳里區東寧里延平路３５６號,6,7235182,4,7,A,臺南市佳里區東寧里5鄰延平路356號,市佳里,165876.399,2562485.12
林婦產科診所,臺南市,臺南市佳里區忠仁里延平路２８６號,6,7233427,4,7,A,臺南市佳里區忠仁里8鄰延平路286號,市佳里,165885.72,2562277.73
賴建利小兒科診所,臺南市,臺南市佳里區忠仁里延平路２８０號,6,7212233,4,7,A,臺南市佳里區忠仁里8鄰延平路280號,市佳里,165889.1,2562260.54
聖恩診所,臺南市,臺南市學甲區民權路６５號,6,7833487,4,7,A,臺南市學甲區仁得里7鄰民權路65號,仁得里,166097.17,2570121.609
醫生館診所,高雄市,高雄市茄萣區嘉樂里茄萣路二段１２１號,7,6907088,4,7,A,高雄市茄萣區嘉樂里12鄰茄萣路二段121號,嘉樂里,166191.961,2533391.947
聖安得烈內科小兒科診所,高雄市,高雄市茄萣區嘉福里茄萣路２段４６號,7,6902567,4,7,A,高雄市茄萣區嘉福里4鄰茄萣路二段46號,嘉福里,166230.959,2533220.944
杜耳鼻喉科診所,高雄市,高雄市茄萣區仁愛路三段１７２號,7,6903908,4,7,A,高雄市茄萣區嘉賜里23鄰仁愛路三段172號,嘉賜里,166287.965,2533715.953
施明火診所,高雄市,高雄市茄萣區茄萣里茄萣路一段３９９號,7,6900953,4,7,A,高雄市茄萣區嘉定里1鄰茄萣路一段399號,嘉定里,166298.959,2533110.941
佳新診所,臺南市,臺南市學甲區華宗路４４８號,6,7822330,4,7,A,臺南市學甲區新達里4鄰華宗路448號,新達里,166381.989,2570493.66
台灣基督長老教會新樓醫療財團法人臺南新樓醫院附設安南門診部,臺南市,臺南市安南區海佃路二段６５８號１、２、３、４樓,6,2562363,4,7,A,臺南市安南區溪心里12鄰海佃路二段658號,溪心里,166613.2,2549408.529
大安婦幼醫院,臺南市,臺南市中西區金華路三段１６７號１、２、３、４樓,6,2278899,3,2,A,臺南市中西區府前里13鄰金華路三段167號,府前里,167264.799,2543742.81
奇美醫療財團法人奇美醫院臺南分院,臺南市,臺南市南區樹林街二段４４２號,6,2228116,1,2,A,臺南市南區新昌里1鄰樹林街二段442號,新昌里,167581.51,2543022.99
洪外科醫院,臺南市,臺南市西區民生路二段６０號,6,2240011,3,2,A,臺南市中西區五條港里1鄰民生路二段60號,條港里,167741.179,2543969.27
陳澤彥婦產科醫院,臺南市,臺南市北區中華北路二段１０１號１、２、３樓,6,3505000,3,2,A,臺南市北區文元里8鄰中華北路二段101號,文元里,167833.69,2546698.56
健安診所,臺南市,臺南市西港區慶安里中山路３２５號,6,7959937,4,7,A,臺南市西港區慶安里15鄰中山路325號,慶安里,168368.179,2558034.95
志誠醫院,臺南市,臺南市北區公園路３１５之１號,6,2210423,3,2,A,臺南市北區長興里10鄰公園路315號之1,長興里,169016.45,2544900.319
衛生福利部胸腔病院門診部,臺南市,臺南市東區大同里大同路１段６９號,6,2705911,4,7,A,臺南市東區大同里2鄰大同路一段69號,大同里,169162.03,2543081.95
仁愛醫院,臺南市,臺南市東區北門路一段１０號,6,2213111,3,2,A,臺南市東區東門里1鄰北門路一段10號,東門里,169172.82,2543367.299
王憲忠骨科診所,高雄市,高雄市湖內區逸賢里保生路４８５號１、２樓,7,6996761,4,7,A,高雄市湖內區逸賢里1鄰保生路485號,逸賢里,169253.742,2534082.044
台灣基督長老教會新樓醫療財團法人臺南新樓醫院,臺南市,臺南市東區泉北里東門路１段５７號,6,2748316,2,1,A,臺南市東區東門里6鄰東門路一段57號,東門里,169294.84,2543299.08
國軍退除役官兵輔導委員會臺南榮譽國民之家附設診所,臺南市,臺南市東區忠孝里崇明路１９０號,6,2690418,4,7,A,臺南市東區忠孝里3鄰崇明路190號,忠孝里,169806.7,2542173.939
國立成功大學醫學院附設醫院,臺南市,臺南市北區勝利路１３８號,6,2353535,1,1,A,臺南市北區仁愛里12鄰勝利路138號,仁愛里,169961.01,2544740.99
陳耀平外婦產科診所,高雄市,高雄市永安區永安里忠孝街６８號,7,6912377,4,7,A,高雄市永安區永安里12鄰忠孝街68號,永安里,170188.595,2524316.04
奇美醫療財團法人奇美醫院,臺南市,臺南市永康區中華路９０１號,6,2812811,1,1,A,臺南市永康區甲頂里9鄰中華路901號,甲頂里,170245.28,2546776.73
開元寺慈愛醫院,臺南市,臺南市北區北園街８９－１號,6,2384111,3,2,A,臺南市北區開元里9鄰北園街89號之1,開元里,170343.13,2545682.109
長庚醫療財團法人雲林長庚紀念醫院,雲林縣,雲林縣麥寮鄉中興村工業路１５００號,5,6915151,3,2,A,雲林縣麥寮鄉中興村5鄰工業路1500號,中興村,170345.709,2632559.853
臺南市立安南醫院－委託中國醫藥大學興建經營,臺南市,臺南市安南區長和路二段６６號,6,3553111,3,1,A,臺南市安南區州南里13鄰長和路二段66號,州南里,170403.622,2551607.122
永健診所,高雄市,高雄市湖內區太爺里中正路一段３０號,7,6997406,4,7,A,高雄市湖內區太爺里3鄰中正路一段30號,太爺里,170620.94,2534487.588
臺南市立醫院,臺南市,臺南市東區崇德路６７０號,6,2609926,2,1,A,臺南市東區崇成里18鄰崇德路670號,崇成里,170711.66,2541007.74
連婦產科診所,臺南市,臺南市永康區中山南路２９號,6,2333123,4,7,A,臺南市永康區西橋里1鄰中山南路29號,西橋里,170731.5,2545803.25
侯嘉修內科診所,臺南市,臺南市永康區西橋里中山南路３３號,6,2027111,4,7,A,臺南市永康區西橋里1鄰中山南路33號,西橋里,170739.29,2545808.75
真愛婦產科診所,臺南市,臺南市永康區大橋一街５１－３、５、６號１樓,6,3021188,4,7,A,臺南市永康區安康里6鄰大橋一街51之7號,安康里,170769.1,2546342.299
史地分小兒科診所,臺南市,臺南市永康區大橋一街５７號,6,3039099,4,7,A,臺南市永康區安康里6鄰大橋一街57號,安康里,170809.079,2546366.21
謝孟穎皮膚科診所,臺南市,臺南市永康區中華路６９５號,6,3023232,4,7,A,臺南市永康區安康里17鄰中華路695號,安康里,170923.26,2546309.25
林錦義婦產科診所,臺南市,臺南市永康區安康里中華路６６１巷１６之２號,6,2019111,4,7,A,臺南市永康區安康里20鄰中華路661巷16號之2,安康里,170924.87,2546190.83
蔡尚均小兒科診所,臺南市,臺南市永康區中華路６７５之１號,6,3020188,4,7,A,臺南市永康區安康里17鄰中華路675號之1,安康里,170965.899,2546258.79
王建章婦產科診所,臺南市,臺南市永康區中華路５８０號,6,2336605,4,7,A,臺南市永康區五王里26鄰中華路580號,五王里,171204.739,2545925.75
翁韶嶽耳鼻喉科診所,臺南市,臺南市永康區中華二路３８３號,6,3135216,4,7,A,臺南市永康區六合里28鄰中華二路383號,六合里,171225.7,2545409.49
陽明骨外科診所,臺南市,臺南市永康區中華路３９５號,6,3023742,4,7,A,臺南市永康區六合里18鄰中華路395號,六合里,171382.92,2545536.87
張榮昌診所,臺南市,臺南市安定區港南里２０６－４號,6,5936278,4,7,A,臺南市安定區港南里13鄰港口206之4號,港南里,171401.89,2554602.299
許崇哲耳鼻喉科診所,臺南市,臺南市永康區大橋里中山南路１２６號,6,2314815,4,7,A,臺南市永康區大橋里28鄰中山南路193號,大橋里,171436.91,2546098.75
蕭超然小兒科診所,臺南市,臺南市永康區中華二路３０１號,6,3126956,4,7,A,臺南市永康區六合里15鄰中華二路301號,六合里,171437.519,2545415.5
隆安小兒科診所,臺南市,臺南市永康區中華路３７８號,6,3021686,4,7,A,臺南市永康區五王里2鄰中華路378號,五王里,171444.26,2545515.149
林獻諒小兒科診所,臺南市,臺南市永康區六合里中華路３４７號,6,3134761,4,7,A,臺南市永康區六合里15鄰中華路347號,六合里,171450.6,2545398
台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,臺南市,臺南市麻豆區小埤里苓子林20號,6,5702228,2,1,A,臺南市麻豆區埤頭里11鄰苓子林20號,埤頭里,171479.399,2564408.2
華康內科診所,臺南市,臺南市永康區中華路３１３號,6,3130619,4,7,A,臺南市永康區六合里15鄰中華路313號,六合里,171493.579,2545342.74
劉眼科診所,臺南市,臺南市永康區成功里中華路１４２號,6,3117109,4,7,A,臺南市永康區成功里8鄰中華路142號,成功里,171616.38,2544835.99
生達耳鼻喉科診所,臺南市,臺南市永康區中華路２６２號,6,3122519,4,7,A,臺南市永康區中興里22鄰中華路262號,中興里,171634.01,2545134.74
陽明聯合診所,臺南市,臺南市永康區中山南路２２３號,6,2315298,4,7,A,臺南市永康區東橋里8鄰中山南路223號,東橋里,171638.609,2546197.83
大眾診所,臺南市,臺南市永康區中興里中華路２４０號,6,3129024,4,7,A,臺南市永康區中興里22鄰中華路240號,中興里,171639.399,2545114.5
杏福內科診所,臺南市,臺南市永康區小東路５０９號１－２樓,6,3126596,4,7,A,臺南市永康區中華里12鄰小東路509號,中華里,171644.829,2544340.75
民光診所,臺南市,臺南市永康區中正南路７８７號,6,2542076,4,7,A,臺南市永康區塩洲里8鄰中正南路787號,塩洲里,171688.87,2548966.99
楊佳勳耳鼻喉科診所,臺南市,臺南市永康區鹽洲里中正南路８０７號,6,2548805,4,7,A,臺南市永康區塩洲里8鄰中正南路807號,塩洲里,171719.39,2548991.24
仁濟診所,臺南市,臺南市永康區中山東路７７號,6,3022190,4,7,A,臺南市永康區三合里16鄰中山東路77號,三合里,171738.709,2545975.31
蔡孟崇診所,臺南市,臺南市永康區鹽行里中正南路７５８號,6,2532606,4,7,A,臺南市永康區塩行里11鄰中正南路758號,塩行里,171754.59,2548977.49
藝群南台診所,臺南市,臺南市永康區中正南路８３１號,6,2433703,4,7,A,臺南市永康區塩洲里8鄰中正南路831號,塩洲里,171755.989,2549025
京城眼科診所,臺南市,臺南市永康區中山南路４２０號１樓,6,3036688,4,7,A,臺南市永康區二王里37鄰中山南路420號,二王里,171902.209,2546350.68
璨麟眼科診所,臺南市,臺南市永康區鹽行里中正北路３０號,6,2541959,4,7,A,臺南市永康區塩行里18鄰中正北路30號,塩行里,171945.51,2549054.009
高雄榮民總醫院臺南分院,臺南市,臺南市永康區復興里復興路４２７號,6,3125101,3,1,A,臺南市永康區復興里1鄰復興路427號,復興里,172119.88,2544176.74
衛生福利部胸腔病院,臺南市,臺南市仁德區中山路８６４號,6,2705911,3,2,A,臺南市仁德區仁德里29鄰中山路864號,仁德里,172259.81,2541766.75
王渭鵬內科診所,臺南市,臺南市麻豆區新生南路９０號,6,5711117,4,7,A,臺南市麻豆區新興里2鄰新生南路90號,新興里,172296.16,2564731.74
黃素娥婦產科診所,臺南市,臺南市麻豆區中山路１５０－１１號,6,5729066,4,7,A,臺南市麻豆區油車里14鄰中山路150號之11,油車里,172341.239,2564993.609
廖�輝耳鼻喉科診所,臺南市,臺南市麻豆區中山路１５０之９號,6,5710688,4,7,A,臺南市麻豆區油車里14鄰中山路150號之9,油車里,172348.91,2564983.819
方舟診所,高雄市,高雄市湖內區民權路１５８號,7,6935962,4,7,A,高雄市湖內區大湖里7鄰民權路158號,大湖里,172369.396,2532421.83
禾馨診所（禾馨聯合診所）,臺南市,臺南市永康區忠孝路３９２號,6,2019993,4,7,A,臺南市永康區二王里23鄰忠孝路392號,二王里,172473.049,2546474.089
蔡眼科診所（禾馨聯合診所）,臺南市,臺南市永康區忠孝路３９２號,6,2019993,4,7,A,臺南市永康區二王里23鄰忠孝路392號,二王里,172473.049,2546474.089
張耀仁小兒科診所,臺南市,臺南市永康區復國一路４４７號,6,2010199,4,7,A,臺南市永康區復華里35鄰復國一路447號,復華里,172652.649,2546078.669
陳信宏小兒科診所,臺南市,臺南市麻豆區中山路１４５號,6,5719889,4,7,A,臺南市麻豆區新興里5鄰中山路145號,新興里,172686.579,2564811.279
郭宏文皮膚科診所,臺南市,臺南市麻豆區光復路１２９號,6,5711123,4,7,A,臺南市麻豆區新興里6鄰光復路129號,新興里,172707.2,2564897.97
永慶診所,臺南市,臺南市永康區復國一路１９８號,6,3133996,4,7,A,臺南市永康區復國里7鄰復國一路198號,復國里,172732.95,2545182.48
麥田身心診所,臺南市,臺南市永康區復國一路３６５號１－２樓,6,2311229,4,7,A,臺南市永康區復華里39鄰復國一路365號,復華里,172741.84,2545869.319
陳繼進小兒診所,臺南市,臺南市永康區復華里復國一路３５２號,6,2018121,4,7,A,臺南市永康區復華里39鄰復國一路359號,復華里,172746.79,2545852.87
維仁小兒科診所,臺南市,臺南市麻豆區穀興里三民路１號,6,5717358,4,7,A,臺南市麻豆區新興里11鄰三民路1號,新興里,172794.609,2564904.569
哲賓耳鼻喉科診所,臺南市,臺南市麻豆區中興里興國路１６之１號,6,5713511,4,7,A,臺南市麻豆區中興里1鄰興國路16號之1,中興里,172989.47,2564681.549
偉翔小兒科診所,臺南市,臺南市麻豆區巷口里興國路２９－８號,6,5712602,4,7,A,臺南市麻豆區巷口里5鄰興國路29號之8,巷口里,173018.06,2564494.509
安心婦產科診所,臺南市,臺南市永康區復興路５７號１樓,6,2713225,4,7,A,臺南市永康區建國里13鄰復興路57號,建國里,173033.929,2544315.62
晉生醫療社團法人晉生慢性醫院,臺南市,臺南市永康區中山南路９０２巷５號２樓及７號,6,2330003,3,6,A,臺南市永康區二王里1鄰中山南路902巷5號,二王里,173034.42,2546846.23
黃永富診所,高雄市,高雄市梓官區光明路６４號,7,6195646,4,7,A,高雄市梓官區禮蚵里2鄰光明路64號,禮蚵里,173076.91,2514758.049
成大崑山骨外科診所,臺南市,臺南市永康區復興路３１號,6,2710946,4,7,A,臺南市永康區建國里13鄰復興路31號,建國里,173087.38,2544312.569
怡人診所,臺南市,臺南市永康區復興路１５號,6,2720777,4,7,A,臺南市永康區建國里13鄰復興路15號,建國里,173117.549,2544313.1
利民內科診所,臺南市,臺南市永康區中正路２５８之２號,6,2039513,4,7,A,臺南市永康區正強里42鄰中正路258號之2,正強里,173152.12,2547936.899
成大信安骨外科診所,臺南市,臺南市麻豆區大埕里７鄰中正路７５號,6,5718222,4,7,A,臺南市麻豆區大埕里7鄰中正路75號,大埕里,173209.64,2565140.339
杏和診所,臺南市,臺南市麻豆區中正路７７號１、２樓,6,5711883,4,7,A,臺南市麻豆區大埕里7鄰中正路77號,大埕里,173217.579,2565148.81
劉玉章耳鼻喉科診所,臺南市,臺南市仁德區後壁里中正路二段２３０號１樓,6,2797888,4,7,A,臺南市仁德區後壁里12鄰中正路二段230號,後壁里,173239.053,2538827.612
仁慈診所,臺南市,臺南市仁德區中正路二段１２２５號,6,2791515,4,7,A,臺南市仁德區仁德里14鄰中正路二段1225號,仁德里,173260.995,2541238.424
成渼聯合診所,臺南市,臺南市仁德區後壁里中正路二段３１６號,6,2702555,4,7,A,臺南市仁德區後壁里17鄰中正路二段316號,後壁里,173261.35,2539051.029
仁義復健科診所,臺南市,臺南市仁德區後壁里德糖路４６６號１樓,6,2496323,4,7,A,臺南市仁德區後壁里25鄰德糖路466號,後壁里,173284.946,2539099.288
林眼科診所,臺南市,臺南市麻豆區忠孝路２３之２６號,6,5719118,4,7,A,臺南市麻豆區大埕里7鄰忠孝路23號之26,大埕里,173293.53,2565005.649
鄭建輝婦產科診所,臺南市,臺南市仁德區仁義里中正路三段１０號,6,2702345,4,7,A,臺南市仁德區仁義里44鄰中正路三段10號,仁義里,173295.989,2541374.529
周蓁佑復健科診所（怡佑復健科家醫科聯合診所）,臺南市,臺南市麻豆區信義路１２之１３號及１２之１４號,6,5715811,4,7,A,臺南市麻豆區晋江里5鄰信義路12號之13,晋江里,173316.769,2564610.5
楊怡芳診所（怡佑復健科家醫科聯合診所）,臺南市,臺南市麻豆區信義路１２之１３及１２之１４號,6,5715811,4,7,A,臺南市麻豆區晋江里5鄰信義路12號之14,晋江里,173321.54,2564610.66
德南家醫科診所,臺南市,臺南市仁德區中正路二段４６４號,6,2798071,4,7,A,臺南市仁德區新田里10鄰中正路二段464號,新田里,173322.989,2539380.279
賴文毅婦產科診所,臺南市,臺南市永康區中正路１３１號１樓,6,2326899,4,7,A,臺南市永康區正強里25鄰中正路131號,正強里,173347.399,2547876
趙俊凱耳鼻喉科診所,臺南市,臺南市仁德區中正路二段１０９２號,6,2491886,4,7,A,臺南市仁德區仁義里28鄰中正路二段1092號,仁義里,173354.209,2541066.029
